,Industy_Index
2010-03-27,9693.4
2010-03-28,9791.4
2010-03-29,9839.6
2010-03-30,9867.4
2010-03-31,9934.3
2010-04-03,10072.4
2010-04-04,10211.4
2010-04-05,10226.6
2010-04-06,10352.2
2010-04-07,10489.9
2010-04-10,10534.3
2010-04-11,10551.2
2010-04-12,10588.0
2010-04-13,10687.8
2010-04-14,10720.2
2010-04-17,10653.8
2010-04-18,10757.0
2010-04-19,10928.6
2010-04-20,10962.0
2010-04-21,10923.9
2010-04-24,10897.9
2010-04-25,10889.8
2010-04-26,10959.0
2010-04-27,10948.5
2010-04-28,10803.0
2010-05-01,10920.3
2010-05-02,10883.9
2010-05-03,10809.9
2010-05-04,10813.9
2010-05-05,10707.0
2010-05-08,10653.2
2010-05-09,10706.4
2010-05-10,10788.5
2010-05-11,10821.5
2010-05-12,10806.1
2010-05-15,10792.1
2010-05-16,10813.8
2010-05-18,10793.7
2010-05-19,10784.9
2010-05-22,10764.2
2010-05-23,10736.5
2010-05-24,10771.8
2010-05-25,10831.0
2010-05-26,10818.6
2010-05-29,10798.6
2010-05-30,10776.3
2010-05-31,10740.7
2010-06-01,10794.4
2010-06-02,10834.2
2010-06-06,10824.6
2010-06-07,10808.9
2010-06-08,10831.3
2010-06-09,10756.9
2010-06-12,10819.0
2010-06-13,10885.8
2010-06-14,10975.8
2010-06-15,11041.4
2010-06-16,11015.3
2010-06-19,11006.6
2010-06-20,10951.6
2010-06-21,10921.4
2010-06-22,10991.8
2010-06-23,11105.4
2010-06-27,11105.5
2010-06-28,11109.9
2010-06-29,11155.7
2010-06-30,11160.4
2010-07-03,11167.8
2010-07-04,11113.3
2010-07-05,11156.1
2010-07-06,11168.0
2010-07-07,11277.9
2010-07-11,11407.1
2010-07-12,11501.3
2010-07-13,11522.1
2010-07-14,11590.8
2010-07-17,11617.6
2010-07-18,11657.3
2010-07-19,11675.5
2010-07-20,11739.5
2010-07-21,11766.0
2010-07-24,11858.6
2010-07-25,12043.5
2010-07-26,12116.2
2010-07-28,12128.3
2010-07-31,12157.5
2010-08-01,12156.6
2010-08-02,12344.6
2010-08-03,12528.6
2010-08-04,12553.4
2010-08-07,12811.0
2010-08-08,12787.7
2010-08-09,12824.5
2010-08-10,12950.5
2010-08-11,13032.7
2010-08-14,12893.0
2010-08-15,12766.2
2010-08-16,12814.4
2010-08-17,12930.9
2010-08-18,12978.6
2010-08-21,12930.8
2010-08-22,12934.0
2010-08-23,13082.2
2010-08-24,13109.3
2010-08-25,13164.4
2010-08-28,13277.7
2010-08-29,13554.5
2010-08-30,13682.3
2010-08-31,13707.6
2010-09-04,14011.1
2010-09-05,14286.0
2010-09-06,14309.6
2010-09-07,14138.3
2010-09-08,14081.8
2010-09-12,14149.0
2010-09-13,14133.0
2010-09-14,14118.0
2010-09-15,14102.9
2010-09-18,14208.3
2010-09-19,14095.9
2010-09-20,13940.9
2010-09-21,14013.1
2010-09-22,14118.9
2010-09-25,14210.5
2010-09-26,14093.6
2010-09-27,13997.7
2010-09-28,14109.1
2010-09-29,14195.3
2010-10-02,14218.7
2010-10-03,14139.1
2010-10-05,14124.1
2010-10-06,14182.2
2010-10-09,14229.4
2010-10-10,13999.2
2010-10-11,13932.3
2010-10-12,13704.1
2010-10-13,13434.9
2010-10-16,13487.1
2010-10-17,13584.9
2010-10-18,13773.3
2010-10-19,13771.5
2010-10-20,13739.0
2010-10-23,13815.3
2010-10-24,13699.7
2010-10-25,13609.3
2010-10-26,13581.1
2010-10-27,13550.2
2010-10-30,13616.1
2010-10-31,13602.2
2010-11-01,13572.7
2010-11-02,13562.1
2010-11-03,13551.5
2010-11-06,13630.1
2010-11-07,13563.6
2010-11-08,13525.7
2010-11-09,13589.0
2010-11-10,13661.8
2010-11-13,13605.8
2010-11-14,13595.2
2010-11-15,13603.5
2010-11-16,13592.8
2010-11-20,13620.5
2010-11-21,13678.9
2010-11-22,13761.2
2010-11-23,13741.7
2010-11-24,13792.6
2010-11-27,13905.7
2010-11-28,13858.0
2010-11-29,13733.1
2010-11-30,13696.9
2010-12-01,13715.5
2010-12-04,13729.7
2010-12-05,13756.4
2010-12-06,13737.9
2010-12-07,13760.1
2010-12-08,13809.4
2010-12-11,13887.4
2010-12-12,13882.4
2010-12-13,13850.7
2010-12-14,13850.5
2010-12-18,13813.8
2010-12-19,13682.4
2010-12-20,13713.9
2010-12-21,13794.7
2010-12-22,13832.4
2010-12-25,13982.8
2010-12-26,14077.4
2010-12-27,14066.6
2010-12-28,14155.8
2010-12-29,14222.9
2011-01-01,14226.4
2011-01-02,14256.3
2011-01-03,14350.8
2011-01-04,14506.5
2011-01-05,14640.9
2011-01-08,14725.3
2011-01-09,14957.4
2011-01-10,14956.1
2011-01-11,15022.0
2011-01-12,14986.1
2011-01-15,14931.8
2011-01-16,15023.0
2011-01-17,15100.0
2011-01-18,15129.9
2011-01-19,15278.8
2011-01-22,15324.1
2011-01-23,15328.9
2011-01-24,15406.3
