,Overall_Index
2010-03-27,12613.9
2010-03-28,12732.1
2010-03-29,12823.9
2010-03-30,12867.0
2010-03-31,12945.0
2010-04-03,13135.7
2010-04-04,13320.1
2010-04-05,13317.0
2010-04-06,13476.5
2010-04-07,13681.2
2010-04-10,13754.0
2010-04-11,13802.6
2010-04-12,13832.8
2010-04-13,13904.0
2010-04-14,13903.4
2010-04-17,13815.7
2010-04-18,13935.0
2010-04-19,14138.3
2010-04-20,14185.7
2010-04-21,14129.2
2010-04-24,14079.9
2010-04-25,14053.3
2010-04-26,14129.0
2010-04-27,14139.4
2010-04-28,14012.5
2010-05-01,14136.7
2010-05-02,14085.9
2010-05-03,14012.6
2010-05-04,14036.7
2010-05-05,13944.8
2010-05-08,13920.5
2010-05-09,14014.3
2010-05-10,14099.5
2010-05-11,14131.7
2010-05-12,14105.3
2010-05-15,14096.1
2010-05-16,14138.8
2010-05-18,14156.7
2010-05-19,14155.6
2010-05-22,14117.2
2010-05-23,14080.5
2010-05-24,14115.5
2010-05-25,14184.3
2010-05-26,14153.8
2010-05-29,14119.9
2010-05-30,14087.6
2010-05-31,14038.3
2010-06-01,14109.0
2010-06-02,14182.4
2010-06-06,14164.7
2010-06-07,14135.3
2010-06-08,14148.8
2010-06-09,14055.1
2010-06-12,14114.9
2010-06-13,14180.3
2010-06-14,14288.5
2010-06-15,14394.2
2010-06-16,14372.0
2010-06-19,14340.6
2010-06-20,14280.9
2010-06-21,14257.0
2010-06-22,14350.6
2010-06-23,14489.4
2010-06-27,14503.0
2010-06-28,14500.9
2010-06-29,14545.3
2010-06-30,14552.3
2010-07-03,14561.1
2010-07-04,14504.2
2010-07-05,14553.2
2010-07-06,14571.6
2010-07-07,14718.8
2010-07-11,14883.4
2010-07-12,14981.5
2010-07-13,15005.9
2010-07-14,15080.4
2010-07-17,15118.0
2010-07-18,15189.0
2010-07-19,15244.8
2010-07-20,15344.6
2010-07-21,15360.7
2010-07-24,15455.4
2010-07-25,15660.9
2010-07-26,15746.5
2010-07-28,15794.1
2010-07-31,15840.5
2010-08-01,15870.0
2010-08-02,16078.1
2010-08-03,16281.7
2010-08-04,16317.9
2010-08-07,16606.1
2010-08-08,16625.9
2010-08-09,16674.4
2010-08-10,16841.4
2010-08-11,16995.1
2010-08-14,16864.6
2010-08-15,16701.1
2010-08-16,16766.9
2010-08-17,16910.8
2010-08-18,17009.6
2010-08-21,16974.6
2010-08-22,16957.6
2010-08-23,17116.7
2010-08-24,17152.7
2010-08-25,17233.1
2010-08-28,17401.0
2010-08-29,17767.8
2010-08-30,17938.0
2010-08-31,17955.7
2010-09-04,18315.8
2010-09-05,18636.1
2010-09-06,18648.2
2010-09-07,18458.9
2010-09-08,18429.6
2010-09-12,18533.4
2010-09-13,18533.7
2010-09-14,18543.1
2010-09-15,18555.7
2010-09-18,18657.7
2010-09-19,18487.6
2010-09-20,18303.3
2010-09-21,18413.0
2010-09-22,18548.6
2010-09-25,18673.3
2010-09-26,18527.8
2010-09-27,18405.6
2010-09-28,18535.3
2010-09-29,18671.3
2010-10-02,18790.4
2010-10-03,18762.4
2010-10-05,18749.9
2010-10-06,18871.8
2010-10-09,18937.7
2010-10-10,18642.0
2010-10-11,18564.0
2010-10-12,18283.0
2010-10-13,17902.5
2010-10-16,17973.1
2010-10-17,18111.1
2010-10-18,18343.8
2010-10-19,18292.9
2010-10-20,18229.5
2010-10-23,18324.6
