,Top_50_Index
2010-03-27,554.1
2010-03-28,558.7
2010-03-29,564.0
2010-03-30,566.9
2010-03-31,570.4
2010-04-03,577.9
2010-04-04,586.5
2010-04-05,584.9
2010-04-06,590.8
2010-04-07,604.3
2010-04-10,609.0
2010-04-11,610.6
2010-04-12,611.7
2010-04-13,614.3
2010-04-14,615.2
2010-04-17,609.3
2010-04-18,616.2
2010-04-19,633.2
2010-04-20,636.3
2010-04-21,631.6
2010-04-24,627.2
2010-04-25,621.4
2010-04-26,621.7
2010-04-27,618.5
2010-04-28,612.9
2010-05-01,618.0
2010-05-02,620.0
2010-05-03,618.5
2010-05-04,618.5
2010-05-05,611.1
2010-05-08,608.9
2010-05-09,617.9
2010-05-10,625.3
2010-05-11,627.7
2010-05-12,625.6
2010-05-15,624.0
2010-05-16,626.7
2010-05-18,626.4
2010-05-19,625.1
2010-05-22,621.8
2010-05-23,618.8
2010-05-24,621.1
2010-05-25,626.8
2010-05-26,625.0
2010-05-29,621.9
2010-05-30,616.0
2010-05-31,613.3
2010-06-01,617.8
2010-06-02,620.8
2010-06-06,618.9
2010-06-07,616.2
2010-06-08,613.7
2010-06-09,608.3
2010-06-12,613.0
2010-06-13,617.5
2010-06-14,625.0
2010-06-15,631.8
2010-06-16,629.6
2010-06-19,626.7
2010-06-20,626.5
2010-06-21,626.5
2010-06-22,631.7
2010-06-23,636.4
2010-06-27,637.2
2010-06-28,638.1
2010-06-29,637.6
2010-06-30,638.0
2010-07-03,640.2
2010-07-04,639.4
2010-07-05,641.3
2010-07-06,641.1
2010-07-07,650.2
2010-07-11,660.2
2010-07-12,667.5
2010-07-13,668.2
2010-07-14,673.4
2010-07-17,676.7
2010-07-18,680.6
2010-07-19,684.8
2010-07-20,690.9
2010-07-21,692.8
2010-07-24,698.6
2010-07-25,706.6
2010-07-26,712.2
2010-07-28,714.8
2010-07-31,718.1
2010-08-01,719.6
2010-08-02,730.9
2010-08-03,738.6
2010-08-04,740.7
2010-08-07,754.5
2010-08-08,752.1
2010-08-09,751.4
2010-08-10,757.6
2010-08-11,766.1
2010-08-14,759.2
