,FIRST,HIGH,LOW,CLOSE,VALUE,VOL,OPENINT,OPEN,LAST,Overall_Index,Top_50_Index,Industy_Index,RSI_14D
1389-01-07,1100.0,1100.0,1072.0,1096.0,92036293,84150,9,1096.0,1082.0,12613.9,554.1,9693.4,100.0
1389-01-08,1094.0,1134.0,1073.0,1097.0,516624901,467582,36,1096.0,1100.0,12732.1,558.7,9791.4,100.0
1389-01-09,1105.0,1127.0,1100.0,1098.0,279931740,252614,28,1097.0,1100.0,12823.9,564.0,9839.6,100.0
1389-01-10,1102.0,1126.0,1092.0,1099.0,720040066,651862,36,1098.0,1100.0,12867.0,566.9,9867.4,100.0
1389-01-11,1120.0,1120.0,1090.0,1099.0,297271310,271389,16,1099.0,1095.0,12945.0,570.4,9934.3,74.24248113242969
1389-01-14,1099.0,1137.0,1090.0,1108.0,2534110425,2263808,143,1099.0,1137.0,13135.7,577.9,10072.4,92.26515982705459
1389-01-15,1140.0,1146.0,1120.0,1118.0,1660000279,1454329,78,1108.0,1130.0,13320.1,586.5,10211.4,81.9706194009826
1389-01-16,1128.0,1137.0,1120.0,1119.0,816028837,727031,50,1118.0,1121.0,13317.0,584.9,10226.6,71.00162824990782
1389-01-17,1119.0,1138.0,1119.0,1122.0,1984762680,1758607,97,1119.0,1125.0,13476.5,590.8,10352.2,72.74713978529113
1389-01-18,1130.0,1161.0,1130.0,1158.0,5558459807,4791675,122,1122.0,1161.0,13681.2,604.3,10489.9,82.78853617396811
1389-01-21,1198.0,1198.0,1167.0,1197.0,7615737858,6363918,218,1158.0,1198.0,13754.0,609.0,10534.3,87.77436492571105
1389-01-22,1238.0,1238.0,1238.0,1237.0,6146993118,4965261,123,1197.0,1238.0,13802.6,610.6,10551.2,90.85768537364086
1389-01-23,1280.0,1280.0,1196.0,1260.0,12537989975,9947696,437,1237.0,1197.0,13832.8,611.7,10588.0,71.07188518929476
1389-01-24,1217.0,1239.0,1216.0,1257.0,367374845,301647,30,1260.0,1216.0,13904.0,614.3,10687.8,73.90758736028044
1389-01-25,1214.0,1214.0,1214.0,1257.0,43390788,35742,7,1257.0,1214.0,13903.4,615.2,10720.2,73.09533455577167
1389-01-28,1214.0,1214.0,1214.0,1257.0,977270,805,1,1257.0,1214.0,13815.7,609.3,10653.8,73.09533455577167
1389-01-29,1214.0,1214.0,1214.0,1256.0,83615464,68876,7,1257.0,1214.0,13935.0,616.2,10757.0,73.09533455577167
1389-01-30,1213.0,1250.0,1213.0,1218.0,10110070875,8301404,407,1256.0,1214.0,14138.3,633.2,10928.6,73.09533455577167
1389-01-31,1229.0,1234.0,1176.0,1206.0,2374089860,1998966,140,1218.0,1177.0,14185.7,636.3,10962.0,57.398468261609665
1389-02-01,1199.0,1200.0,1164.0,1199.0,1113840740,952988,75,1206.0,1165.0,14129.2,631.6,10923.9,53.39369886160581
1389-02-04,1159.0,1159.0,1158.0,1198.0,171268932,147881,17,1199.0,1158.0,14079.9,627.2,10897.9,51.151683321481904
1389-02-05,1157.0,1158.0,1157.0,1187.0,1549142382,1338926,55,1198.0,1157.0,14053.3,621.4,10889.8,50.82336233235936
1389-02-06,1146.0,1150.0,1146.0,1171.0,2230080457,1945355,93,1187.0,1146.0,14129.0,621.7,10959.0,47.23205227116467
